source,target_name,target_slug,descriptor_family,split_family,group_column,model,fold_id,n_train,n_test,r2,mae,rmse,spearman_rho,kendall_tau,best_params,fit_status,fit_seconds,fit_error,shift_centroid_distance,shift_mean_abs_z,shift_avg_wasserstein,top_1pct_overlap,top_1pct_precision,top_1pct_recall,top_1pct_enrichment,top_1pct_ndcg,top_2pct_overlap,top_2pct_precision,top_2pct_recall,top_2pct_enrichment,top_2pct_ndcg,top_5pct_overlap,top_5pct_precision,top_5pct_recall,top_5pct_enrichment,top_5pct_ndcg,top_10pct_overlap,top_10pct_precision,top_10pct_recall,top_10pct_enrichment,top_10pct_ndcg,mean_shift_avg_wasserstein,Density,ASA,AVA,AVAf,POAVA,Di,Df,Dif,geo_cluster,pca_pc1,pca_pc2,highlighted_geometry_group
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,ridge,0.0,210995.0,52749.0,0.4391666488276634,0.4951227970079718,0.7523906299863099,0.7918259825652987,0.6037080672407691,"{""model__alpha"": 100.0}",ok,2.134207963943481,,0.0099201975186667,0.0030402630597253,0.0058613851974152,0.0113636363636363,0.0113636363636363,0.0113636363636363,1.1352660123966942,0.1996629666305421,0.0236966824644549,0.0236966824644549,0.0236966824644549,1.184811661912356,0.2831963702688779,0.178923426838514,0.178923426838514,0.178923426838514,3.577722457280052,0.4528189347392684,0.4538388625592417,0.4538388625592417,0.4538388625592417,4.5383025897890885,0.6209365759150374,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,ridge,1.0,210995.0,52749.0,0.4440231379820962,0.4961046664023675,0.7487420251315422,0.79265965236608,0.6041852598475853,"{""model__alpha"": 100.0}",ok,2.081575393676758,,0.0097556979316034,0.0029744760884426,0.0056697376249204,0.0056818181818181,0.0056818181818181,0.0056818181818181,0.5676330061983471,0.2188462674008143,0.0151658767772511,0.0151658767772511,0.0151658767772511,0.7582794636239079,0.2882398527604711,0.1834723275208491,0.1834723275208491,0.1834723275208491,3.668681502804121,0.4617895982013923,0.4528909952606635,0.4528909952606635,0.4528909952606635,4.528824096493789,0.6267676360321446,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,ridge,2.0,210995.0,52749.0,0.4462054445315171,0.4944999639191587,0.7422540757849421,0.7922304471893739,0.6041472548047201,"{""model__alpha"": 100.0}",ok,2.128018617630005,,0.0317353409566026,0.0109967331278115,0.0113349666613564,0.0151515151515151,0.0151515151515151,0.0151515151515151,1.5136880165289257,0.2186577394355161,0.0227488151658767,0.0227488151658767,0.0227488151658767,1.1374191954358617,0.2951823716014272,0.1978771796815769,0.1978771796815769,0.1978771796815769,3.956718480297007,0.4702918321771536,0.4629383886255924,0.4629383886255924,0.4629383886255924,4.629296125423957,0.6331292450091475,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,ridge,3.0,210995.0,52749.0,0.4484253562807598,0.4969058355437665,0.7497837013867038,0.7967298082640714,0.6080411771545324,"{""model__alpha"": 100.0}",ok,2.106164693832397,,0.0119220144773856,0.0040008803673934,0.0057836455694729,0.0113636363636363,0.0113636363636363,0.0113636363636363,1.1352660123966942,0.2229043436484325,0.0199052132701421,0.0199052132701421,0.0199052132701421,0.9952417960063792,0.2934946392187911,0.1868840030326004,0.1868840030326004,0.1868840030326004,3.7369007869471726,0.4633568951964699,0.4593364928909952,0.4593364928909952,0.4593364928909952,4.5932778509018215,0.6296164695704933,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,ridge,4.0,210995.0,52749.0,0.4463361753412066,0.4937480495656337,0.745254025035229,0.7943608136363801,0.605790362176512,"{""model__alpha"": 100.0}",ok,2.1024670600891118,,0.0131766764114243,0.0043990446681421,0.0056341256515938,0.0170454545454545,0.0170454545454545,0.0170454545454545,1.702899018595041,0.2176538607100923,0.0189573459715639,0.0189573459715639,0.0189573459715639,0.9478493295298848,0.2927243599126253,0.1770280515542077,0.1770280515542077,0.1770280515542077,3.539822854978356,0.4613327867351834,0.4600947867298578,0.4600947867298578,0.4600947867298578,4.60086064553806,0.6294521927231173,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,rf,0.0,210995.0,52749.0,0.7171087084040162,0.3037866281753154,0.5343628428045515,0.8898410283208446,0.7184701287666378,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 80}",ok,274.8273024559021,,0.0099201975186667,0.0030402630597253,0.0058613851974152,0.3484848484848485,0.3484848484848485,0.3484848484848485,34.81482438016529,0.7828052421130107,0.4454976303317535,0.4454976303317535,0.4454976303317535,22.27445924395229,0.7998328642541593,0.5693707354056103,0.5693707354056103,0.5693707354056103,11.385040531429318,0.8199374246142098,0.665781990521327,0.665781990521327,0.665781990521327,6.657693690617911,0.8489051989143439,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,rf,1.0,210995.0,52749.0,0.7233621741224956,0.3037450771121482,0.5281528554380701,0.8885279860115962,0.7170052513449773,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 80}",ok,276.8962948322296,,0.0097556979316034,0.0029744760884426,0.0056697376249204,0.3768939393939394,0.3768939393939394,0.3768939393939394,37.65298941115702,0.7984065804997765,0.442654028436019,0.442654028436019,0.442654028436019,22.132281844522808,0.8123771131618335,0.5735405610310842,0.5735405610310842,0.5735405610310842,11.468419656493047,0.8277156912771758,0.6707109004739337,0.6707109004739337,0.6707109004739337,6.706981855753465,0.8551579542509231,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,rf,2.0,210995.0,52749.0,0.7269793688088034,0.3003613943096274,0.5211658896166981,0.8897517889600972,0.719070736788023,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 80}",ok,276.3400800228119,,0.0317353409566026,0.0109967331278115,0.0113349666613564,0.3598484848484848,0.3598484848484848,0.3598484848484848,35.95009039256198,0.8017200879860026,0.4436018957345971,0.4436018957345971,0.4436018957345971,22.179674310999303,0.8137236130289205,0.5788476118271417,0.5788476118271417,0.5788476118271417,11.574538542937791,0.8356753930572215,0.6786729857819905,0.6786729857819905,0.6786729857819905,6.786601199433975,0.8594200193181234,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,rf,3.0,210995.0,52749.0,0.72327344029635,0.3035463993416861,0.5310791738535114,0.8912595721878291,0.7207885453026788,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 80}",ok,275.1473376750946,,0.0119220144773856,0.0040008803673934,0.0057836455694729,0.375,0.375,0.375,37.46377840909091,0.802651697700574,0.4511848341232227,0.4511848341232227,0.4511848341232227,22.558814042811257,0.8127902164264473,0.577710386656558,0.577710386656558,0.577710386656558,11.551798781556778,0.8304097132458773,0.6720379146919432,0.6720379146919432,0.6720379146919432,6.720251746366884,0.8511006841697748,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,rf,4.0,210995.0,52749.0,0.725723331126213,0.3007070350868249,0.5245364699486149,0.8894401373610192,0.718545555492124,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 80}",ok,276.8277487754822,,0.0131766764114243,0.0043990446681421,0.0056341256515938,0.3712121212121212,0.3712121212121212,0.3712121212121212,37.085356404958674,0.8091011349312494,0.4635071090047393,0.4635071090047393,0.4635071090047393,23.17491610700568,0.8153001794307168,0.5674753601213041,0.5674753601213041,0.5674753601213041,11.347140929127622,0.8291485501522581,0.6701421800947868,0.6701421800947868,0.6701421800947868,6.701294759776285,0.855355744550263,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,hgb,0.0,210995.0,52749.0,0.6754470780840391,0.3378548097999462,0.5723599328556731,0.8625902987773988,0.6792601301872812,"{""model__l2_regularization"": 0.01, ""model__learning_rate"": 0.1, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",ok,20.898318767547607,,0.0099201975186667,0.0030402630597253,0.0058613851974152,0.3106060606060606,0.3106060606060606,0.3106060606060606,31.030604338842974,0.7534583921074176,0.4123222748815165,0.4123222748815165,0.4123222748815165,20.615722917274997,0.7732594990940335,0.5375284306292646,0.5375284306292646,0.5375284306292646,10.748327212760833,0.7986422499487317,0.6316587677725118,0.6316587677725118,0.6316587677725118,6.316467931987152,0.8265909708486769,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,hgb,1.0,210995.0,52749.0,0.6805373346231911,0.3372519554674115,0.5675627785106246,0.8610504075666249,0.6776662998055906,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",ok,21.338282346725464,,0.0097556979316034,0.0029744760884426,0.0056697376249204,0.3295454545454545,0.3295454545454545,0.3295454545454545,32.92271435950413,0.7714646152604614,0.404739336492891,0.404739336492891,0.404739336492891,20.23658318546304,0.784777313170483,0.5470053070507961,0.5470053070507961,0.5470053070507961,10.93782522426931,0.809820002174514,0.6354502369668247,0.6354502369668247,0.6354502369668247,6.3543819051683474,0.8333205653554945,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,hgb,2.0,210995.0,52749.0,0.6849416609896477,0.3333030581470356,0.5598526518780533,0.8623758324958781,0.679383747837413,"{""model__l2_regularization"": 0.01, ""model__learning_rate"": 0.1, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",ok,21.912622213363647,,0.0317353409566026,0.0109967331278115,0.0113349666613564,0.3257575757575757,0.3257575757575757,0.3257575757575757,32.5442923553719,0.7693676974757302,0.395260663507109,0.395260663507109,0.395260663507109,19.762658520698096,0.7838465510954701,0.5489006823351024,0.5489006823351024,0.5489006823351024,10.975724826571009,0.8122113343335723,0.6479620853080569,0.6479620853080569,0.6479620853080569,6.479498016666293,0.8368227005731567,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,hgb,3.0,210995.0,52749.0,0.683712625750488,0.3379450349174469,0.5677730533439473,0.8644468322726567,0.6815129029961715,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",ok,20.791929483413696,,0.0119220144773856,0.0040008803673934,0.0057836455694729,0.3106060606060606,0.3106060606060606,0.3106060606060606,31.030604338842974,0.7675086965019793,0.4161137440758294,0.4161137440758294,0.4161137440758294,20.80529278318097,0.7862595905001518,0.5523123578468537,0.5523123578468537,0.5523123578468537,11.04394411071406,0.813792332864912,0.6371563981042654,0.6371563981042654,0.6371563981042654,6.371443193099886,0.8319914834098964,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,hgb,4.0,210995.0,52749.0,0.6823977492674513,0.3354367979676788,0.5644468344837676,0.8611694438334737,0.678410920053946,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",ok,21.225874423980716,,0.0131766764114243,0.0043990446681421,0.0056341256515938,0.3162878787878788,0.3162878787878788,0.3162878787878788,31.59823734504132,0.7648046274751494,0.4151658767772512,0.4151658767772512,0.4151658767772512,20.757900316704475,0.7866330953871931,0.5432145564821834,0.5432145564821834,0.5432145564821834,10.86202601966592,0.8113147100615155,0.6417061611374407,0.6417061611374407,0.6417061611374407,6.416939960917319,0.8363042182205882,,,,,,,,,,,,,
shift_points,uptake(mmol/g) CO2 at 0.15 bar,co2_015bar,compact_geometry,random,,mlp,0.0,210995.0,52749.0,0.6151133143526759,0.3693908840886089,0.6232939426073669,0.8483395206211396,0.6613099791917841,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [64], ""model__learning_rate_init"": 0.001}",ok,210.3345572948456,,0.0099201975186667,0.0030402630597253,0.0058613851974152,0.1875,0.1875,0.1875,18.731889204545453,0.638397474114922,0.3014218009478673,0.3014218009478673,0.3014218009478673,15.070804339525168,0.6742913410755291,0.4761182714177407,0.4761182714177407,0.4761182714177407,9.5203800981859,0.7321455350560647,0.5931753554502369,0.5931753554502369,0.5931753554502369,5.931641104198018,0.7819229033302555,,,,,,,,,,,,,
